date,ticker,market_cap,eps_ttm
2023-06-01,ACGL,25.947,5.2
2023-06-01,DASH,26.255,-3.53
2023-06-01,GPN,25.891,-0.51
2023-06-01,VMC,26.452,4.67
2023-06-01,DFS,26.748,14.86
2023-06-01,DNBBY,26.139,2.01
2023-06-01,WBA,26.16,-3.64
2023-06-01,EFX,25.577,4.76
2023-06-01,ARES,26.612,1.12
2023-06-01,BDORY,26.022,2.55
2023-06-01,OKE,25.464,5.31
2023-06-01,WST,25.356,7.3
2023-06-01,BNTX,25.092,27.28
2023-06-01,CAJPY,25.771,1.76
2023-06-01,PWR,25.558,3.39
2023-06-01,AEM,25.885,5.08
2023-06-01,EIX,25.537,2.19
2023-06-01,APTV,24.402,2.15
2023-06-01,BGNE,24.265,-18.51
2023-06-01,MDY,,
2023-06-01,MLM,25.06,15.48
2023-06-01,MPWR,23.678,9.64
2023-06-01,HUBS,25.702,-2.95
2023-06-01,RBLX,25.728,-1.72
2023-06-01,AVB,25.09,7.31
2023-06-01,GIB,24.441,4.74
2023-06-01,RYAAY,24.229,6.17
2023-06-01,SBAC,23.909,3.44
2023-06-01,TEF,24.496,0.26
2023-06-01,PCRFY,24.865,0.68
2023-06-01,URI,23.32,31.08
2023-06-01,SAUHY,24.082,0.3
2023-06-01,YUMC,23.861,1.49
2023-06-01,FTV,23.147,2.14
2023-06-01,ES,24.011,4.18
2023-06-01,TROW,24.339,6.12
2023-06-01,ALB,22.944,31.21
2023-06-01,RCI,23.841,2.6
2023-06-01,IR,23.523,1.58
2023-06-01,FANG,23.198,24.14
2023-06-01,EBAY,23.133,1.03
2023-06-01,CKHUY,22.841,1.22
2023-06-01,XYL,24.45,2.05
2023-06-01,TTWO,23.299,-7.0
2023-06-01,VRSN,23.243,6.48
2023-06-01,WTW,23.434,10.29
2023-06-01,CBRE,23.319,3.47
2023-06-01,CDW,23.356,7.98
2023-06-01,ALNY,23.494,-8.61
2023-06-01,MKC,23.509,2.47
2023-06-01,K,22.632,2.42
2023-06-01,TSCO,22.606,9.7
